,Categorical Data,,,,,,Numerical Data
Customer ID,Customer Name,Gender,Age,Region,Job Classification,Date Joined,Balance
100001307,,Female,31,England,Job Classification,22-07-2020,183467.7
100003450,Carl Fraser,Male,35,England,,30-11-2020,
200002010,Connor North,Male,50,Scotland,Other,11-09-2020,172085.48
100003832,Sebastian Arnold,Male,44,England,Blue Collar,20-12-2020,
400000914,Anna Randall,Female,25,Northern Ireland,Blue Collar,18-06-2020,149698.12
100001823,Natalie Paige,Female,34,England,White Collar,28-08-2020,
100003108,David Metcalfe,Male,27,England,White Collar,11-11-2020,146892.37
400000639,Peter Miller,Male,28,Northern Ireland,White Collar,22-05-2020,146569.77
300000524,Brandon Clark,Male,31,Wales,White Collar,16-05-2020,145995.97
300003185,Piers Dyer,Male,39,Wales,White Collar,14-11-2020,144607.38
300002335,Benjamin Howard,Male,36,Wales,White Collar,27-09-2020,144209.77
100003732,Faith Ince,Female,34,England,White Collar,15-12-2020,143879.62
100002742,Alison Manning,Female,30,England,White Collar,22-10-2020,143808.39
100002822,Amelia Morrison,Female,36,England,White Collar,26-10-2020,143447.15
100001786,Jan Hunter,Female,28,England,White Collar,26-08-2020,142461.87
200001502,Stewart Vaughan,Male,57,Scotland,Blue Collar,03-08-2020,141792.5
100003991,Sue Cornish,Female,30,England,White Collar,29-12-2020,139784.01
200002025,Dan Forsyth,Male,58,Scotland,White Collar,12-09-2020,139610.13
200002634,Paul Sanderson,Male,57,Scotland,Other,15-10-2020,139509.54
100003226,,Male,39,England,White Collar,,139434.09
200002353,Leonard Lyman,Male,64,Scotland,Blue Collar,28-09-2020,139415.88
100002438,Grace Hardacre,Female,30,England,White Collar,03-10-2020,138086.22
100003786,Gavin Hart,Male,35,England,White Collar,17-12-2020,137981.62
200000764,Carl Arnold,Male,48,Scotland,Other,31-05-2020,137330.94
100000120,Andrea Dickens,Female,31,England,White Collar,31-03-2020,136370.38
300002539,Julian Mackay,Male,35,Wales,Other,09-10-2020,136365.52
100003500,,Male,29,England,White Collar,03-12-2020,135545.59
100002367,Ryan Mackenzie,Male,34,England,Blue Collar,29-09-2020,135158.19
300001034,Julian Carr,Male,35,,Blue Collar,29-06-2020,134324.66
,,,,,,,
